                                              radext_fao56: EXTRA TERRESTRIAL RADIATION (W/m2)

         DAY   90S  80S   70S   60S   50S   40S   30S   20S   10S   EQ    10N   20N   30N   40N   50N   60N    70N    80N    90N

(0)	  1    0.8 542.2 517.7 504.3 511.7 514.3 506.9 487.7 456.4 413.7 360.7 299.2 231.3 160.1  89.6  27.1 -999.9 -999.9 -999.9
(1)	  2    0.8 540.4 516.0 503.2 510.9 513.8 506.5 487.5 456.5 414.0 361.1 299.7 231.9 160.7  90.2  27.5 -999.9 -999.9 -999.9
(2)	  3    0.8 538.4 514.0 501.9 510.0 513.1 506.1 487.4 456.6 414.2 361.6 300.3 232.6 161.4  90.9  28.1 -999.9 -999.9 -999.9
(3)	  4    0.8 536.2 512.0 500.5 509.0 512.5 505.7 487.2 456.6 414.5 362.0 300.9 233.3 162.2  91.6  28.6 -999.9 -999.9 -999.9
(4)	  5    0.8 533.9 509.8 499.1 508.0 511.7 505.3 487.1 456.7 414.8 362.5 301.5 234.0 163.0  92.4  29.2 -999.9 -999.9 -999.9
(5)	  6    0.8 531.4 507.4 497.5 506.9 511.0 504.8 486.9 456.8 415.1 363.0 302.2 234.8 163.8  93.2  29.9 -999.9 -999.9 -999.9
(6)	  7    0.8 528.8 504.9 495.9 505.7 510.1 504.3 486.7 456.9 415.4 363.5 302.9 235.7 164.7  94.1  30.5 -999.9 -999.9 -999.9
(7)	  8    0.8 526.0 502.2 494.2 504.4 509.3 503.8 486.5 456.9 415.8 364.1 303.6 236.5 165.7  95.0  31.3 -999.9 -999.9 -999.9
(8)	  9    0.8 523.0 499.4 492.4 503.1 508.3 503.2 486.2 457.0 416.1 364.7 304.4 237.5 166.7  96.0  32.0 -999.9 -999.9 -999.9
(9)	 10    0.8 519.9 496.4 490.4 501.7 507.4 502.6 486.0 457.1 416.5 365.3 305.3 238.4 167.7  97.0  32.9 -999.9 -999.9 -999.9
(10)	 11    0.7 516.7 493.3 488.4 500.3 506.3 502.0 485.7 457.1 416.9 366.0 306.1 239.5 168.8  98.1  33.7 -999.9 -999.9 -999.9
(11)	 12    0.7 513.3 490.1 486.3 498.7 505.3 501.3 485.4 457.2 417.3 366.6 307.0 240.5 170.0  99.2  34.6 -999.9 -999.9 -999.9
(12)	 13    0.7 509.7 486.7 484.2 497.2 504.1 500.6 485.1 457.3 417.7 367.3 307.9 241.6 171.2 100.4  35.6 -999.9 -999.9 -999.9
(13)	 14    0.7 506.0 483.1 481.9 495.5 503.0 499.9 484.8 457.3 418.1 368.1 308.9 242.8 172.4 101.6  36.6 -999.9 -999.9 -999.9
(14)	 15    0.7 502.1 479.4 479.6 493.8 501.7 499.1 484.4 457.4 418.5 368.8 309.9 244.0 173.7 102.9  37.7 -999.9 -999.9 -999.9
(15)	 16    0.7 498.1 475.6 477.1 492.0 500.5 498.3 484.1 457.5 418.9 369.6 311.0 245.2 175.1 104.2  38.8 -999.9 -999.9 -999.9
(16)	 17    0.7 493.9 471.6 474.6 490.1 499.1 497.5 483.7 457.5 419.4 370.3 312.0 246.5 176.5 105.6  39.9 -999.9 -999.9 -999.9
(17)	 18    0.7 489.6 467.5 472.0 488.2 497.8 496.6 483.3 457.5 419.8 371.1 313.1 247.8 177.9 107.0  41.1 -999.9 -999.9 -999.9
(18)	 19    0.7 485.2 463.3 469.3 486.2 496.3 495.7 482.9 457.6 420.3 372.0 314.3 249.2 179.4 108.5  42.4 -999.9 -999.9 -999.9
(19)	 20    0.7 480.6 458.9 466.6 484.2 494.9 494.8 482.5 457.6 420.7 372.8 315.4 250.6 181.0 110.1  43.7 -999.9 -999.9 -999.9
(20)	 21    0.7 475.8 454.3 463.8 482.0 493.4 493.8 482.0 457.7 421.2 373.7 316.6 252.0 182.6 111.7  45.0 -999.9 -999.9 -999.9
(21)	 22    0.7 470.9 449.8 460.9 479.9 491.8 492.8 481.5 457.7 421.7 374.6 317.9 253.5 184.2 113.3  46.4   0.1 -999.9 -999.9
(22)	 23    0.7 465.9 445.2 457.9 477.6 490.2 491.8 481.0 457.7 422.2 375.5 319.1 255.1 185.9 115.0  47.9   0.4 -999.9 -999.9
(23)	 24    0.7 460.7 440.7 454.8 475.4 488.5 490.7 480.5 457.7 422.7 376.4 320.4 256.6 187.6 116.7  49.4   0.8 -999.9 -999.9
(24)	 25    0.7 455.4 436.1 451.7 473.0 486.8 489.6 480.0 457.7 423.2 377.3 321.7 258.2 189.4 118.5  51.0   1.2 -999.9 -999.9
(25)	 26    0.7 449.9 431.5 448.5 470.6 485.1 488.4 479.4 457.7 423.7 378.3 323.0 259.8 191.2 120.4  52.6   1.8 -999.9 -999.9
(26)	 27    0.6 444.3 426.8 445.3 468.1 483.3 487.3 478.8 457.7 424.2 379.3 324.4 261.5 193.0 122.3  54.3   2.5 -999.9 -999.9
(27)	 28    0.6 438.6 422.0 442.0 465.6 481.4 486.1 478.2 457.6 424.7 380.2 325.8 263.2 194.9 124.2  56.0   3.2 -999.9 -999.9
(28)	 29    0.6 432.8 417.3 438.6 463.0 479.5 484.8 477.6 457.6 425.2 381.2 327.2 265.0 196.9 126.2  57.8   4.1 -999.9 -999.9
(29)	 30    0.6 426.8 412.5 435.2 460.4 477.6 483.5 477.0 457.6 425.7 382.3 328.6 266.7 198.9 128.2  59.6   5.0 -999.9 -999.9
(30)	 31    0.6 420.6 407.6 431.7 457.7 475.6 482.2 476.3 457.5 426.2 383.3 330.1 268.5 200.9 130.3  61.5   6.0 -999.9 -999.9
(31)	 32    0.6 414.4 402.7 428.1 455.0 473.6 480.9 475.6 457.4 426.7 384.3 331.6 270.4 203.0 132.5  63.5   7.0 -999.9 -999.9
(32)	 33    0.6 408.0 397.7 424.5 452.2 471.5 479.5 474.9 457.3 427.2 385.3 333.1 272.2 205.1 134.6  65.5   8.2 -999.9 -999.9
(33)	 34    0.6 401.5 392.7 420.8 449.4 469.4 478.1 474.1 457.2 427.7 386.4 334.6 274.1 207.2 136.9  67.5   9.4 -999.9 -999.9
(34)	 35    0.6 394.9 387.7 417.1 446.5 467.3 476.6 473.4 457.1 428.2 387.5 336.2 276.1 209.4 139.2  69.6  10.7 -999.9 -999.9
(35)	 36    0.6 388.1 382.6 413.3 443.5 465.1 475.2 472.6 457.0 428.7 388.5 337.7 278.0 211.6 141.5  71.8  12.1 -999.9 -999.9
(36)	 37    0.6 381.2 377.5 409.5 440.6 462.9 473.7 471.8 456.9 429.2 389.6 339.3 280.0 213.9 143.9  74.0  13.5 -999.9 -999.9
(37)	 38    0.5 374.2 372.3 405.6 437.5 460.6 472.1 470.9 456.7 429.7 390.7 340.9 282.0 216.2 146.3  76.3  15.1 -999.9 -999.9
(38)	 39    0.5 367.1 367.2 401.7 434.5 458.3 470.5 470.1 456.5 430.2 391.8 342.5 284.0 218.5 148.8  78.7  16.7 -999.9 -999.9
(39)	 40    0.5 359.9 362.0 397.7 431.3 455.9 468.9 469.2 456.3 430.7 392.9 344.1 286.1 220.9 151.3  81.1  18.4 -999.9 -999.9
(40)	 41    0.5 352.5 356.7 393.7 428.2 453.5 467.3 468.3 456.1 431.1 393.9 345.8 288.2 223.3 153.8  83.5  20.2 -999.9 -999.9
(41)	 42    0.5 345.1 351.5 389.6 425.0 451.1 465.6 467.3 455.9 431.6 395.0 347.4 290.3 225.8 156.4  86.0  22.0 -999.9 -999.9
(42)	 43    0.5 337.5 346.2 385.5 421.7 448.6 463.9 466.3 455.7 432.0 396.1 349.1 292.4 228.2 159.1  88.6  24.0 -999.9 -999.9
(43)	 44    0.5 329.9 340.9 381.4 418.5 446.1 462.1 465.4 455.4 432.5 397.2 350.7 294.6 230.7 161.7  91.2  26.0 -999.9 -999.9
(44)	 45    0.5 322.1 335.5 377.2 415.1 443.6 460.4 464.3 455.1 432.9 398.3 352.4 296.7 233.3 164.5  93.9  28.0 -999.9 -999.9
(45)	 46    0.5 314.3 330.2 373.0 411.8 441.0 458.5 463.3 454.8 433.4 399.4 354.1 298.9 235.8 167.2  96.6  30.2 -999.9 -999.9
(46)	 47    0.4 306.3 324.8 368.8 408.4 438.4 456.7 462.2 454.5 433.8 400.5 355.8 301.1 238.4 170.0  99.4  32.5 -999.9 -999.9
(47)	 48    0.4 298.2 319.4 364.5 404.9 435.7 454.8 461.1 454.2 434.2 401.6 357.5 303.4 241.0 172.9 102.2  34.8 -999.9 -999.9
(48)	 49    0.4 290.1 314.1 360.2 401.5 433.1 452.9 460.0 453.8 434.6 402.7 359.2 305.6 243.7 175.8 105.1  37.2 -999.9 -999.9
