     -5:160:160:192        0:160:160:192
      0:160:160:192     0.5:224:160:255
   0.5:224:160:255        5:255:255:255
      5:255:255:255      15:144:144:255
    15:144:144:255      25:112:128:144
    25:112:128:144      45:112:192:224
    45:112:192:224      60:232:248:255
    60:224:255:255      70:112:196:196
    70:112:196:196      80:112:144:112
    80:112:144:112      90:96:224:192
    90:96:224:192      100:232:255:248
  100:232:255:248    110:128:216:96
  110:128:216:96      130:80:128:80
  130:80:128:80        150:128:208:128
  150:128:208:128    160:240:255:240
  160:248:255:232    170:192:224:0
  170:192:224:0        190:128:128:64
  190:128:128:64      220:240:224:0
  220:240:224:0        250:255:255:224
  250:255:255:232    320:255:160:0
  320:255:160:0        400:160:128:112
  400:160:128:112    500:255:96:96
  500:255:96:96        600:255:240:240
  600:255:240:240    700:255:64:160
  700:255:64:160      800:128:80:112
  800:128:64:128    1000:255:128:255
1000:255:128:255  1600:255:255:255
1600:255:255:255  2600:128:128:255
